Tabel;Väli;Selgitus
hindamine;ksm_naeb_hindaja;"kas märkused on nähtavad teistele hindajatele"
hindamine;ksm_naeb_sooritaja;"kas märkused on nähtavad sooritajale"
hindamine;on_probleem;"kas hindaja on märkinud töö probleemseks"
hindamine;probleem_sisu;"kui hindaja on märkinud töö probleemseks, siis probleemi sisu"
hindamine;probleem_varv;"probleemse töö värv (#rrggbb või #rgb)"
hindamine;unikaalne;"True - hindamiskogumiga hindamise korral, piirang ei luba mitut sama liiki hindamist, False - avaliku vaate hindamiskogumita hindamise korral, kus võib olla mitu hindajat, iga hindab oma ylesannet"
hindamine;komplekt_id;"viide komplektile (väärtus peaks olema sama kui hindamisoleku tabelis olev komplekt, aga on siin tabelis vajalik mitmekordse sisestamise võimaldamiseks)"
hindamine;sisestuserinevus;"kas I ja II sisestus erinevad (p-testi hindamisprotokolli sisestamise korral)"
hindamine;sisestus;"mitmes sisestamine (p-testi hindamisprotokolli kahekordse sisestamise korral on sisestused 1 ja 2, muidu ainult 1)"
hindamine;sisestaja_kasutaja_id;"sisestaja kasutaja (ainult sisestamise korral, e-hindamise korral puudub)"
hindamisaspekt;TABEL 1.35;"Ülesandega seotud hindamisaspekt"
hindamisaspekt;created;"kirje loomise aeg"
hindamisaspekt;modified;"kirje viimase muutmise aeg"
hindamisaspekt;creator;"kirje looja isikukood"
hindamisaspekt;modifier;"kirje viimase muutja isikukood"
hindamisaspekt;id;"kirje identifikaator"
hindamisaspekt;ylesanne_id;"viide ülesandele"
hindamisaspekt;aine_kood;"õppeaine, mille hindamisaspekt see on (peab olema ka tabelis Ylesandeaine)"
hindamisaspekt;aspekt_kood;"viide aspektile, klassifikaator ASPEKT"
hindamisaspekt;max_pallid;"max toorpunktide arv, mida selle aspektiga hinnatakse"
hindamisaspekt;pintervall;"lubatud punktide intervall (käsitsi hindamisel)"
hindamisaspekt;kaal;"kaal, millega aspekti toorpunktid korrutatakse, kui arvutatakse kogu ülesande toorpunkte"
hindamisaspekt;hindamisjuhis;"kirjeldus (kui puudub, siis kasutatakse vaikimisi kirjeldusena aspektide klassifikaatoris olevat)"
hindamisaspekt;seq;"aspekti järjekord ülesandes (sh hindamisprotokollil)"
hindamisaspekt;kuvada_statistikas;"kas kuvada aspekt statistikaraportis"
hindamisaspekt;pkirj_sooritajale;"kas kuvada punktide kirjeldused sooritajale"
hindamiskogum;TABEL 1.36;"Ülesannete hindamiskogum.     Hindamiskogumil on sisuline tähendus eeskätt kirjalikus testis (e-test või p-test),     kuna hindamiskogumite kaupa antakse kirjaliku testi ülesandeid hindajatele hindamiseks.     Kui hindamiskogumid on määratud suulises e-testis, siis antakse läbiviijale võimalus     valida hindamiskogumit, aga ta hindab ikkagi soorituse kõik hindamiskogumid.     Hindamiskogumite kaupa rühmitatakse ka süsteemi sees soorituse hindamisolekuid ja      seetõttu peab andmebaasis tegelikult igasuguse testi iga testiülesanne      kuuluma hindamiskogumisse. Kui kasutaja pole testiülesannet hindamiskogumisse määranud,      siis paigutatakse see automaatselt loodavasse vaikimisi hindamiskogumisse.      Ühe hindamiskogumi kõik ülesanded peavad kuuluma samasse komplektivalikusse."
hindamiskogum;created;"kirje loomise aeg"
hindamiskogum;modified;"kirje viimase muutmise aeg"
hindamiskogum;creator;"kirje looja isikukood"
hindamiskogum;modifier;"kirje viimase muutja isikukood"
hindamiskogum;id;"kirje identifikaator"
hindamiskogum;testiosa_id;"viide testiosale"
hindamiskogum;tahis;"tähis (vaikimisi hindamiskogumi korral võib olla NULL)"
hindamiskogum;nimi;"nimetus"
hindamiskogum;staatus;"olek: kui kogum sisaldab ülesandeid, siis 1, muidu 0"
hindamiskogum;vaikimisi;"kas on vaikimisi (automaatselt loodud) hindamiskogum"
hindamiskogum;kursus_kood;"lai või kitsas (matemaatika korral), klassifikaator KURSUS"
hindamiskogum;hindamine_kood;"hindamise liik, klassifikaator HINDAMINE"
hindamiskogum;kahekordne_hindamine;"kas on kahekordne hindamine (mitte-valimi korral)"
hindamiskogum;kahekordne_hindamine_valim;"kas on kahekordne hindamine (valimi korral)"
hindamiskogum;paarishindamine;"kas kahekordne hindamisel määratakse hindajate paarid või eraldi hindajad (paarishindamine on kasutusel ainult kirjaliku kahekordse hindamise korral)"
hindamiskogum;kontrollijaga_hindamine;"kas on kahe hindajaga ühekordne hindamine (üks hindab, teine kontrollib)"
hindamiskogum;on_digiteerimine;"kirjaliku p-testi skannimise korral (kui sisestuskogumis on määratud, et skannitakse): kas vastused digiteeritakse (tuvastatakse) või hõivatakse ainult pilt"
hindamiskogum;on_hindamisprotokoll;"kirjaliku p-testi sisestamise korral: kas sisestatakse hindamisprotokoll või sisestatakse vastused"
hindamiskogum;erinevad_komplektid;"hindamisprotokolliga p-testi korral: False - kõigil komplektidel on toorpunktid samad, printida kõigi komplektide kohta ühine hindamisprotokoll, True - eri komplektides on toorpunktid erinevad, tuleb printida iga komplekti jaoks eraldi hindamisprotokoll"
hindamiskogum;arvutihinnatav;"kas kõik testiülesanded on arvutihinnatavad"
hindamiskogum;on_markus_sooritajale;"kas hindaja saab hindamisel sooritajale märkusi kirjutada"
hindamiskogum;hindajate_erinevus;"lubatud erinevus hindajate vahel protsentides hindamiskogumi maksimaalse võimaliku hindepallide arvu suhtes"
hindamiskogum;hindamine3_loplik;"mida tehakse III hindamise tulemusega: true - III hindamise tulemus on lõplik tulemus, false - leitakse I,II,III hindamiste seast lähim paar ja kui ka selle paari hindamiserinevus on suur, siis tehakse IV hindamine"
hindamiskogum;max_pallid;"hindamiskogumisse kuuluvate testiülesannete pallide summa (uuendatakse testiülesande salvestamisel ning hindamiskogumisse määramisel)"
hindamiskogum;arvutus_kood;"hindamistulemuse arvutusviis, klassifikaator ARVUTUS: k - hindajate punktide keskmine, s - kahe hindaja punktide summa (eeldab kahekordset hindamist)"
hindamiskogum;oma_kool_tasuta;"true - hindaja ja intervjueerija tasu arvestatakse ainult nende sooritajate eest, kes ei ole läbiviija oma kooli õpilased, false - tasu arvestatakse kõigi hinnatud tööde eest"
hindamiskogum;tasu;"kogumi hindamise tasu (korrutatakse sooritajate arvuga)"
hindamiskogum;intervjuu_lisatasu;"kogumi intervjueerimise eest hindamistasule juurde makstav tasu hindaja-intervjueerijale (korrutatakse sooritajate arvuga ja lisatakse hindaja tasule)"
hindamiskogum;intervjuu_tasu;"kogumi intervjueerimise tasu intervjueerijale, kes ei ole hindaja (korrutatakse sooritajate arvuga)"
hindamiskogum;sisestuskogum_id;"viide sisestuskogumile, kui mõni sisestuskogum sisaldab antud hindamiskogumit"
hindamiskogum;komplektivalik_id;"viide komplektivalikule"
hindamiskriteerium;TABEL 1.37;"Hindamiskogumi hindamiskriteerium"
hindamiskriteerium;created;"kirje loomise aeg"
hindamiskriteerium;modified;"kirje viimase muutmise aeg"
hindamiskriteerium;creator;"kirje looja isikukood"
hindamiskriteerium;modifier;"kirje viimase muutja isikukood"
hindamiskriteerium;id;"kirje identifikaator"
hindamiskriteerium;hindamiskogum_id;"viide hindamiskogumile"
hindamiskriteerium;aine_kood;"õppeaine, mille hindamisaspekt see on"
hindamiskriteerium;aspekt_kood;"viide aspektile, klassifikaator ASPEKT"
hindamiskriteerium;max_pallid;"max toorpunktide arv, mida selle kriteeriumiga hinnatakse"
hindamiskriteerium;pintervall;"lubatud punktide intervall (käsitsi hindamisel)"
hindamiskriteerium;kaal;"kaal, millega kriteeriumi toorpunktid korrutatakse"
hindamiskriteerium;hindamisjuhis;"kirjeldus (kui puudub, siis kasutatakse vaikimisi kirjeldusena aspektide klassifikaatoris olevat)"
hindamiskriteerium;seq;"hindamiskriteeriumi järjekord hindamiskogumis"
hindamiskriteerium;kuvada_statistikas;"kas kuvada kriteerium statistikaraportis"
hindamiskriteerium;pkirj_sooritajale;"kas kuvada punktide kirjeldused sooritajale"
hindamiskysimus;TABEL 1.38;"Hindajate poolt hindamisjuhile esitatud küsimused ja saadud vastused"
hindamiskysimus;created;"kirje loomise aeg"
hindamiskysimus;modified;"kirje viimase muutmise aeg"
hindamiskysimus;creator;"kirje looja isikukood"
hindamiskysimus;modifier;"kirje viimase muutja isikukood"
hindamiskysimus;id;"kirje identifikaator"
hindamiskysimus;ylesanne_id;"viide ülesandele"
hindamiskysimus;kysimus;"küsitud küsimus"
hindamiskysimus;kysija_kasutaja_id;"viide küsijale"
hindamiskysimus;kysimisaeg;"küsimise aeg"
hindamiskysimus;vastus;"hindamisjuhi vastus küsimusele"
hindamiskysimus;vastaja_kasutaja_id;"viide vastajale"
hindamiskysimus;vastamisaeg;"vastamise aeg"
hindamiskysimus;avalik;"kas on kõigile hindajatele nähtav küsimus"
hindamismaatriks;TABEL 1.39;"Hindamismaatriksi rida,      QTI vaste: mapping/mapEntry või mapping/areaMapEntry või mapping/correctResponse/value"
hindamismaatriks;created;"kirje loomise aeg"
hindamismaatriks;modified;"kirje viimase muutmise aeg"
hindamismaatriks;creator;"kirje looja isikukood"
hindamismaatriks;modifier;"kirje viimase muutja isikukood"
hindamismaatriks;id;"kirje identifikaator"
hindamismaatriks;kood1;"hinnatav väärtus (QTI mapKey) või selle esimene osa"
hindamismaatriks;kood2;"hinnatava väärtuse (QTI mapKey) teine osa (kasutatakse siis, kui baastyyp on pair või directedPair)"
hindamismaatriks;oige;"kas on märgitud õigeks vastuseks (QTI correctResponse)"
hindamismaatriks;kujund;"hinnatava kujundi liik (QTI shape, areaMapEntry korral)"
hindamismaatriks;koordinaadid;"hinnatava kujundi koordinaadid (QTI coords, areaMapEntry korral, jrk nr lüngata panga ja kirjavahemärgi lisamise korral)"
hindamismaatriks;selgitus;"selgitus"
hindamismaatriks;jrk;"ridade järjestus (saab määrata ainult otse andmebaasis, kasutajaliidese kaudu ei saa)"
hindamismaatriks;pallid;"hinnatava väärtuse eest antavad toorpunktid (QTI mappedValue, nende valikute eest saadud punktid)"
hindamismaatriks;sallivus;"joonistamise sisuploki korral maksimaalne lubatud kaugus pikslites lahendaja tõmmatud joone ja koostaja antud õige joone vahel (koostamise vaates pool joone laiusest)"
hindamismaatriks;tulemus_id;"viide tulemuse kirjele"
hindamismaatriks;maatriks;"mitmes hindamismaatriks (üldjuhul alati 1, aga kolme hulgaga sobitamisel on olemas ka 2)"
hindamismaatriks;tahis;"tabamuste loenduri tähis (loendur suureneb ühe võrra, kui sooritaja vastust hinnatakse sellel hindamismaatriksi real)"
hindamismaatriks;tabamuste_arv;"täpne tabamuste arv, mille korral antakse punkte (kui on tühi, siis korduvaid tabamusi ei arvestata, st punkte annab ainult esimene tabamus)"
hindamismaatriks;tingimus;"lisatingimuse valem, mis võib sõltuda teistest vastustest - kui valem on antud ja valemi väärtus pole tõene, siis see maatriksirida ei anna tabamust"
hindamismaatriks;valem;"kas vastuse võrdlemisel võtta hindamismaatriksi vastust valemina (matemaatika korral, muudes sisuplokkides kasutatakse tabelis Tulemus olevat märget)"
hindamismaatriks;teisendatav;"kas vastuse võrdlemisel vastust (nii maatriksi vastust kui ka sooritaja vastust) lihtsustatakse (matemaatika korral)"
hindamismaatriks;vrd_tekst;"kas vastuse võrdlemisel võrreldakse ainult tekstina (matemaatilist tähendust ei arvestata, matemaatika korral)"
hindamisolek;TABEL 1.40;"Soorituse hindamise kehtiv olek hindamiskogumite lõikes.     Iga soorituse ja hindamiskogumi kohta on üks kirje."
hindamisolek;created;"kirje loomise aeg"
hindamisolek;modified;"kirje viimase muutmise aeg"
hindamisolek;creator;"kirje looja isikukood"
hindamisolek;modifier;"kirje viimase muutja isikukood"
hindamisolek;id;"kirje identifikaator"
hindamisolek;sooritus_id;"viide hinnatavale sooritusele"
hindamisolek;staatus;"sisestamise olek: 0 - alustamata, 1 - hindamisel, 2 - loobutud, 3 - hinnatud"
hindamisolek;hindamiskogum_id;"viide hindamiskogumile (puudub testimiskorrata testi hindamisel)"
hindamisolek;hindamistase;"kõrgeim vajalik hindamine: 0 - ei vaja hindamist (hindamiskogum on täielikult arvutihinnatav), 1 - ühekordne hindamine, 2 - kahekordne hindamine, 3 - kolmas hindamine, 4 - eksperthindamine erinevuste korral (IV hindamine), 5 - eksperthindamine vaide korral, 6 - eksperthindamine kohtu poolt"
hindamisolek;hindamisprobleem;"antud hindamistaseme hindamisprobleem: 0 - pole, 1 - sisestamata, 2 - sisestusvead, 3 - hindamiserinevus, 4 - töö puudu või jääb hindamata, 5 - vaidehindamine tehtud, kuid vaideotsuse eelnõud veel pole ja vaidehindamist ei arvestata"
hindamisolek;selgitus;"hindamisprobleemi vabatekstiline selgitus"
hindamisolek;puudus;"true - ühtki hindamisoleku ülesannet pole sooritatud, false - on midagi hinnata"
hindamisolek;mittekasitsi;"kas kõik on arvutiga hinnatav (käsitsihinnatavate küsimuste vastuseid pole)"
hindamisolek;min_hindamistase;"hindamistase, millest madalamaks ei saa tagasi minna (ilma hindamiserinevuseta kolmandat hindamist vajavate tööde määramisel antakse väärtus 3)"
hindamisolek;pallid;"soorituse lõplikud pallid antud hindamiskogumi eest"
hindamisolek;toorpunktid;"soorituse toorpunktide summa antud hindamiskogumi eest"
hindamisolek;hindamiserinevus;"hindamiserinevus (pallide vahe) juhul, kui on vaja olnud kolmandat hindamist"
hindamisolek;komplekt_id;"viide komplektile"
hindamisprotokoll;TABEL 1.41;"Hindamisprotokoll ühendab sama liiki hindamise kirjed,      mille hinnatavad kuuluvad samasse testiprotokolli ja      hindamiskogumid kuuluvad samasse sisestuskogumisse."
hindamisprotokoll;created;"kirje loomise aeg"
hindamisprotokoll;modified;"kirje viimase muutmise aeg"
hindamisprotokoll;creator;"kirje looja isikukood"
hindamisprotokoll;modifier;"kirje viimase muutja isikukood"
hindamisprotokoll;id;"kirje identifikaator"
hindamisprotokoll;liik;"hindamise liik (kui hindamisprotokoll on olemas, siis sama, mis hindamisprotokollis): 1 - I hindamine, 2 - II hindamine , 3 - III hindamine, 4 - eksperthindamine"
hindamisprotokoll;sisestuskogum_id;"viide sisestuskogumile"
hindamisprotokoll;testiprotokoll_id;"viide testiprotokollile"
hindamisprotokoll;staatus;"sisestamise olek: 0 - alustamata, 1 - sisestamisel, 2 - loobutud, 3 - sisestatud"
hindamisprotokoll;staatus1;"I sisestamise olek: 0 - alustamata, 1 - sisestamisel, 2 - loobutud, 3 - sisestatud"
hindamisprotokoll;sisestaja1_kasutaja_id;""
hindamisprotokoll;staatus2;"II sisestamise olek: 0 - alustamata, 1 - sisestamisel, 2 - loobutud, 3 - sisestatud"
hindamisprotokoll;sisestaja2_kasutaja_id;"viide II sisestaja kasutajale"
hindamisprotokoll;tehtud_toodearv;"tehtud ja valimis olevate hindamiskogumisoorituste arv (arvutatakse protokolli kinnitamisel)"
isikukaart;TABEL 1.42;"EHISe isikukaart"
isikukaart;created;"kirje loomise aeg"
isikukaart;modified;"kirje viimase muutmise aeg"
isikukaart;creator;"kirje looja isikukood"
isikukaart;modifier;"kirje viimase muutja isikukood"
isikukaart;id;"kirje identifikaator"
isikukaart;isikukood;"isikukood"
isikukaart;data;"isikukaardi päringu vastus JSONina"
isikukaart_too;TABEL 1.43;"EHISe isikukaardi töötamise kirje"
isikukaart_too;created;"kirje loomise aeg"
isikukaart_too;modified;"kirje viimase muutmise aeg"
isikukaart_too;creator;"kirje looja isikukood"
isikukaart_too;modifier;"kirje viimase muutja isikukood"
isikukaart_too;id;"kirje identifikaator"
isikukaart_too;isikukaart_id;"viide isikukaardi kirjele"
isikukaart_too;liik;"haridustase (HUVIKOOL, POHIKOOL, ...)"
isikukaart_too;oppeasutus;"õppeasutus"
isikukaart_too;oppeasutus_id;"õppeasutuse EHIS ID"
isikukaart_too;ametikoht;"ametikoht"
isikukaart_too;ametikoht_algus;"töötamise algus"
isikukaart_too;ametikoht_lopp;"töötamise lõpp"
isikukaart_too;on_tunniandja;"on tunniandja"
isikukaart_too;on_oppejoud;"on õppejõud"
isikukaart_too;taitmise_viis;"ametikoha täitmise viis"
isikukaart_too;ametikoht_koormus;"koormus"
isikukaart_too;tooleping;"tööleping"
isikukaart_too;ametikoht_kval_vastavus;"kvalifikatsiooninõuetele vastavus"
isikukaart_too;ametijark;"ametijärk"
isikukaart_too;haridustase;"omandatud haridustase"
isikukaart_too;lapsehooldus_puhkus;"lapsehoolduspuhkusel"
isikukaart_too_oppeaine;TABEL 1.44;"EHISe isikukaardi töötamise õppeaine kirje"
isikukaart_too_oppeaine;created;"kirje loomise aeg"
isikukaart_too_oppeaine;modified;"kirje viimase muutmise aeg"
isikukaart_too_oppeaine;creator;"kirje looja isikukood"
isikukaart_too_oppeaine;modifier;"kirje viimase muutja isikukood"
isikukaart_too_oppeaine;id;"kirje identifikaator"
isikukaart_too_oppeaine;isikukaart_too_id;"viide isikukaardi töötamise kirjele"
isikukaart_too_oppeaine;oppeaine;"õppeaine"
isikukaart_too_oppeaine;kooliaste;"kooliaste"
isikukaart_too_oppeaine;maht;"koormus õppeaineti"
isikukaart_too_oppeaine;kval_vastavus;"kvalifikatsiooninõuetele vastavus"
isikukaart_too_oppekava;TABEL 1.45;"EHISe isikukaardi töötamise õppekava kirje"
isikukaart_too_oppekava;created;"kirje loomise aeg"
isikukaart_too_oppekava;modified;"kirje viimase muutmise aeg"
isikukaart_too_oppekava;creator;"kirje looja isikukood"
isikukaart_too_oppekava;modifier;"kirje viimase muutja isikukood"
isikukaart_too_oppekava;id;"kirje identifikaator"
isikukaart_too_oppekava;isikukaart_too_id;"viide isikukaardi töötamise kirjele"
isikukaart_too_oppekava;kl_oppekava;"õppekava klassifikaator"
isikukaart_too_oppekava;oppekava_kood;"kood"
isikukaart_too_oppekava;oppekava_nimetus;"nimetus"
isikukaart_too_oppekava;kvalifikatsiooni_vastavus;"kvalifikatsiooni vastavus kehtivas raamistikus"
isikukaart_too_oppekava;akad_kraad;"akadeemiline kraad või diplom"
isikukaart_too_oppekava;kval_dokument;"kvalifikatsiooni dokument"
joonistamine;TABEL 1.46;"Täiendavad vaikimisi seaded joonistamise sisuploki juurde"
joonistamine;created;"kirje loomise aeg"
joonistamine;modified;"kirje viimase muutmise aeg"
joonistamine;creator;"kirje looja isikukood"
joonistamine;modifier;"kirje viimase muutja isikukood"
joonistamine;id;"kirje identifikaator"
joonistamine;kysimus_id;"viide küsimusele"
joonistamine;on_arvutihinnatav;"kas on arvutihinnatav murdjoon/vabakäejoon või muidu joonistus"
joonistamine;on_seadistus;"kas lahendaja saab vaikimisi seadeid muuta"
joonistamine;tarbed;"kasutatavad joonistustarbed, semikooloniga eraldatult"
joonistamine;stroke_width;"joone laius"
joonistamine;stroke_color;"joone värv"
joonistamine;fill_none;"kas joonistatava kujundi sisu on tühi"
joonistamine;fill_color;"kujundi sisu värv"
joonistamine;fill_opacity;"sisu läbipaistvus, vahemikus 0.1, 0.2, 0.3 kuni 1"
joonistamine;fontsize;"kirja suurus"
joonistamine;textfill_color;"kirja värv"
